Epoch	Acc	Loss	Time
0	0.638671875	0.691087007523	2.2461934089660645
1	0.732421875	0.688952028751	2.3384134769439697
2	0.970703125	0.686553418636	2.4316604137420654
3	0.681640625	0.690126180649	2.5239055156707764
4	0.87890625	0.68106007576	2.6156504154205322
5	0.513671875	0.687525391579	2.707921028137207
6	1.0	0.662082731724	2.8005318641662598
7	0.625	0.683581233025	2.8922793865203857
8	0.63671875	0.681676626205	2.985656976699829
9	0.623046875	0.672409117222	3.0783793926239014
10	0.599609375	0.672414839268	3.171125888824463
11	0.994140625	0.640868484974	3.264374017715454
12	0.697265625	0.663925170898	3.3561439514160156
13	0.7421875	0.653547108173	3.4488916397094727
14	0.6328125	0.686405301094	3.5406320095062256
15	0.703125	0.647982776165	3.6333811283111572
16	0.591796875	0.674158871174	3.725600242614746
17	0.875	0.627437412739	3.818347215652466
18	0.66796875	0.643005132675	3.912097454071045
19	0.828125	0.648790538311	4.004843711853027
20	0.736328125	0.638776659966	4.098090648651123
21	0.728515625	0.624971330166	4.190362453460693
22	0.64453125	0.64621835947	4.2846128940582275
23	0.65234375	0.635744214058	4.3778698444366455
24	0.833984375	0.575928032398	4.472146511077881
25	0.892578125	0.560962677002	4.564364433288574
26	0.7421875	0.645933508873	4.657111883163452
27	0.6796875	0.613677501678	4.750389575958252
28	0.630859375	0.633533835411	4.843105792999268
29	0.85546875	0.529661238194	4.935350656509399
30	0.736328125	0.568967819214	5.027622222900391
31	0.640625	0.6359385252	5.1208717823028564
32	0.875	0.431287646294	5.213592052459717
33	0.591796875	0.724719285965	5.305334568023682
34	0.734375	0.589683294296	5.397606134414673
35	0.84765625	0.538546264172	5.490326166152954
36	0.625	0.658416867256	5.583574295043945
37	0.537109375	0.782769382	5.676320791244507
38	0.9140625	0.407387584448	5.767961740493774
39	0.578125	0.64846765995	5.860682964324951
40	0.56640625	0.687953531742	5.953956604003906
41	0.736328125	0.583428859711	6.046677350997925
42	0.7578125	0.498818457127	6.139447212219238
43	0.763671875	0.480202406645	6.23220157623291
44	0.37890625	0.793887197971	6.3254172801971436
45	0.75390625	0.512498021126	6.41816520690918
46	0.79296875	0.499705433846	6.5104100704193115
47	0.71484375	0.54204750061	6.602655410766602
48	0.984375	0.438664495945	6.696430206298828
49	0.64453125	0.517011880875	6.860313177108765
