Epoch	Acc	Loss	Time
0	0.58935546875	0.69244543463	2.8937032222747803
1	0.822265625	0.683875702322	3.6357028484344482
2	0.720947265625	0.677196130157	4.376645803451538
3	0.7587890625	0.650235310197	5.117614984512329
4	0.79931640625	0.594812020659	5.862595558166504
5	0.62548828125	0.692133978009	6.599421977996826
6	0.724609375	0.610294863582	7.344904184341431
7	0.79443359375	0.53639870137	8.086902141571045
8	0.654052734375	0.626759380102	8.824337482452393
9	0.70947265625	0.573637958616	9.567337989807129
10	0.801513671875	0.470984857529	10.3102867603302
11	0.79345703125	0.479118760675	11.050022840499878
12	0.8994140625	0.329134521075	11.794000625610352
13	0.81689453125	0.434084344655	12.534990310668945
14	0.80810546875	0.526071360335	13.27944827079773
15	0.739990234375	0.46531881392	14.023454904556274
16	0.778076171875	0.49054354988	14.762430667877197
17	0.874267578125	0.389067977667	15.508888721466064
18	0.8115234375	0.409014867619	16.252305030822754
19	0.817138671875	0.456218957901	16.990741729736328
20	0.886962890625	0.301760186441	17.736223697662354
21	0.878662109375	0.317745288834	18.476189851760864
22	0.850341796875	0.354286004789	19.22267484664917
23	0.860107421875	0.301428742707	19.96266794204712
24	0.868896484375	0.319021761417	20.70165705680847
25	0.808837890625	0.385190743953	21.44360589981079
26	0.88720703125	0.278648651205	22.187583923339844
27	0.8759765625	0.376065948978	22.928555011749268
28	0.83349609375	0.354334471747	23.67006516456604
29	0.92578125	0.329838499427	24.412037134170532
30	0.858642578125	0.442123771645	25.153508186340332
31	0.85302734375	0.370934164152	25.896517753601074
32	0.8193359375	0.346160544083	26.638463735580444
33	0.853271484375	0.346169125289	27.381439208984375
34	0.90869140625	0.308430876583	28.123310804367065
35	0.86376953125	0.328550385311	28.862797260284424
36	0.9228515625	0.209094354883	29.60376763343811
37	0.910888671875	0.215417088941	30.346742391586304
38	0.88232421875	0.29779455252	31.088213443756104
39	0.854248046875	0.29687528871	31.83469796180725
40	0.88720703125	0.238941724412	32.57318735122681
41	0.839111328125	0.319865141995	33.31415796279907
42	0.916015625	0.232009330764	34.05863618850708
43	0.885009765625	0.284786749631	34.79559564590454
44	0.90576171875	0.221735049039	35.53857374191284
45	0.878662109375	0.240873085335	36.28204798698425
46	0.887939453125	0.267835823819	37.022515535354614
47	0.90380859375	0.205384275876	37.764461517333984
48	0.92333984375	0.239095227793	38.50593304634094
49	0.876220703125	0.284930406138	39.3242974281311
