dcs	sen	spe
0.9678355598917444	0.9686366406279989	0.9884727908363597
0.9476624501819442	0.9840601128555526	0.9676180297771405
0.9393626250255154	0.9715809853748416	0.966130931641227
0.944227850568791	0.9761645426279222	0.9680627772342906
0.9311895095144357	0.9805531697439638	0.9561971914742499
0.9373420450323593	0.9805777609304825	0.9610134044035861
0.9511492187445657	0.9841848681432575	0.970227884911754
0.9548934173321616	0.9592919897508733	0.9825721395451682
0.9556702986935545	0.9727859535142604	0.9779944234866861
0.9593409937523832	0.9416187238493724	0.9925169774594284
0.9595034726970101	0.9764230499788875	0.9794568134305356
0.9385683387985767	0.9682329852980692	0.9668416062502513
0.9501369464407782	0.9870650358911366	0.9683471308344835
0.9064052023839086	0.9807936835438179	0.9359919627182697
0.95405437394217	0.966938649188131	0.9790286078985808
0.9594735276621059	0.9673782916202833	0.9828590058428592
0.9120715281750161	0.9525114199071053	0.952463113600729
0.960516010931043	0.9680560487121416	0.9833669895203763
0.9519400117723942	0.9855169907105293	0.9703160387156431
0.9586183903681776	0.9812789096387855	0.9769591921175005
0.9420204842564119	0.9892236622394533	0.9612510637086075
0.9510620830227138	0.9671893593336148	0.9767056190616582
0.9628108774028438	0.9693779749337837	0.9845471197786146
0.9624768160285414	0.9773221277494146	0.9813134874901167
0.953233891093176	0.9631432094737247	0.9798745493895821
0.9586479745318282	0.9709710039921692	0.980890307353158
0.9410779985703421	0.9886064834363364	0.9607592031733694
0.9497582013903421	0.9800499500978849	0.9707660209592474
0.932862773149317	0.9574188610801888	0.9667549181865694
0.9369288559120308	0.9679240960039922	0.9657035636751049
0.9471089679610493	0.9721195923381061	0.9718284732179949
0.9376648874512001	0.991688778741699	0.9568701756208038
0.9452493703355502	0.9769280689800776	0.9685454245453693
0.949415420753432	0.9832677968216191	0.9692627996810549
0.9543113850647953	0.946794868719051	0.9869249691775773
0.9585803646511103	0.9790621041418756	0.9777716309751947
0.9580142732468118	0.9797020747764001	0.9771072318784256
0.9527693943903087	0.9800667440789221	0.9730366619316279
0.9689105999889686	0.9693173966450425	0.9889952225244905
0.962084662077847	0.9821911826801274	0.9791906768872033
0.9450578732809317	0.9827657767456144	0.9661242311145656
0.9135762993524726	0.9562264884265479	0.9521218055239142
0.95566680779496	0.980178903880849	0.9751714078476569
0.9593512516567593	0.9846161135848912	0.9762413981988984
0.944818820306018	0.9398319642240222	0.9826799761461251
0.959460951392135	0.9799407892211431	0.9780934656463998
0.9608892475724158	0.9797812464012898	0.9792137099476019
0.9577416217378902	0.9827825707266515	0.9757336239128396
0.9336897217990314	0.9866020018425397	0.9557543285402232
0.9372835747842038	0.9831610350850255	0.9599452985754681
0.9628978092426457	0.9671761640627999	0.9854384992160384
0.9332391257344748	0.9423360667536754	0.9730628358638989
0.9672913928132862	0.9656970941614526	0.9891752991785154
0.9546157986812004	0.9700773242869756	0.9782448556706557
0.9268868890973164	0.9768141098230394	0.9542954982511626
0.9590141248216951	0.972623411769222	0.9805341324828132
0.9452534523913957	0.9823591224904994	0.9664328741239061
0.9358327543492371	0.9823801149667959	0.9591198774473674
0.959886108083334	0.9697540401520095	0.9822628683614532
0.9483776933703251	0.9865912057118729	0.9671850082416478
0.9246525213036194	0.9850809469885993	0.94916101030541
0.9158709124215614	0.9583953111204944	0.9530565289931788
0.9382124746099957	0.9774006995892672	0.9629462969539406
0.9490715846956376	0.9781870177728302	0.9709649428445076
0.9556563462741534	0.9711989223062455	0.9785895140108013
0.9005448717948717	0.977425290775786	0.9325110391176746
0.9541701346304098	0.987393118306399	0.9712876150815454
0.9488046034887488	0.9764914254731104	0.9714182753514427
0.9524037532994271	0.9937796293808299	0.9674951169911955
0.9572087439383137	0.9727007840390004	0.979169109567012
0.9578240813283762	0.9679121003032514	0.9814439383685558
0.9473862198368024	0.9896782992975318	0.9652274074992294
0.9496309486031287	0.9692220308241526	0.9748506201337425
0.9407402326096179	0.9788197909869103	0.9643429379799252
0.9387226143551196	0.9827381866339104	0.9612349405663285
0.9518591227232037	0.9847024826302253	0.9705677272483617
